ID,Name,College
279,Tri-State Lightning QC,0
280,Tribe,0
281,Tufts,1
282,Tulane,1
283,Twin Cities QC,0
284,U Buffalo,1
285,U Incarnate Word,1
286,U Leicester,1
287,U Macquarie,1
288,U Miami,1
289,U Montreal,1
290,U New Orleans,1
291,U Newcastle,1
292,U Ottawa,1
293,U Pittsburgh,1
294,U Reading,1
295,U Sydney,1
296,U Toronto,1
297,U Toronto Scarborough,1
298,UAFS,1
299,UC Irvine,1
300,UC Riverside,1
301,UCLA,1
302,UNC Greensboro,1
303,UNSW,1
304,USC,1
305,UTSA,1
306,UTSC,1
307,Umass Lowell,1
308,Utah,1
309,Utah Crimson Fliers,0
310,Utah State,1
311,VCU,1
312,Valhalla,0
313,Valkyries,0
314,Vassar,1
315,Vermont,1
316,Victoria Spartans,0
317,Villanova,1
318,Virginia,1
319,Virginia Tech,1
320,W. Connecticut State,1
321,W. Sydney,1
322,W. Washington,1
323,WEQL,0
324,WVU Summit,1
325,Warriors,0
326,Waterloo Ridgebacks,0
327,Webster U,1
328,West Texas Rebels QC,0
329,Wichita State,1
330,William and Mary,1
331,Wilmington Warhawks,0
332,Winthrop U,1
333,Wisconsin,1
334,Wizards of Westwood,1
335,Wollongong U,1
336,Wooster,1
337,York,1
338,inTENNsity,0
