Team,Conformed
ILLINI RIDGEBACKS QUIDDITCH TEAM,111
ILLINOIS STATE UNIVERISTY,112
ILLINOIS STATE UNIVERSITY,112
ILLINOIS STATE UNIVERSITY FIREBIRDS,112
INDIA POINT ASHWINDERS,113
INDIANA UNIVERSITY,114
INDIANA UNIVERSITY QUIDDITCH,114
INDIANA UNIVERSITY QUIDDITCH CLUB,114
INDIANA UNIVERSITY SOUTH BEND,109
INDIANA UNIVERSITY SOUTH BEND TITANS,109
INDIANA UNIVERSITY-SOUTH BEND,109
INTENNSITY,338
IOWA QUIDDITCH CLUB,115
IOWA STATE QUIDDITCH,116
IOWA STATE UNIVERSITY,116
IRGINIA COMMONWEALTH UNIVERSITY,311
ITHACA COLLEGE HEX,117
ITHACA COMMUNITY QUIDDITCH TEAM,117
IVES POND QUIDDITCH CLUB,118
JAMES COOK UNIVERSITY,119
JAMES MADISON UNIVERSITY,120
JAMES MADISON UNIVERSITY QUIDDITCH,120
JOHNS HOPKINS QUIDDITCH CLUB,121
JOHNS HOPKINS UNIVERSITY,121
KANSAS QUIDDITCH,122
KANSAS UNIVERSITY,122
KEELE,123
KEELE UNIVERSITY,123
KRAKENS,124
KUTZTOWN,125
L.A. GAMBITS,135
LAFAYETTE CLUB QUIDDITCH,126
LAKE EFFECT MAELSTROM,127
LAKE EFFECT TEMPEST,128
LAKE ERIE ELITE,129
LEEDS,130
LEICESTER,286
LOCK HAVEN UNIVERSITY QUIDDITCH,132
LONE STAR Q.C.,133
LONE STAR QUIDDITCH CLUB,133
LONG BEACH FUNKY QUAFFLES,134
LOS ANGELES GAMBITS,135
LOST BOYS,136
LOUISIANA STATE UNIVERSITY,137
LOYOLA NEW ORLEANS QUIDDITCH,140
LOYOLA UNIVERSITY,138
LOYOLA UNIVERSITY CHICAGO,139
LOYOLA UNIVERSITY CHICAGO QUIDDITCH,139
LOYOLA UNIVERSITY NEW ORLEANS,140
LOYOLA UNIVERSITY NEW ORLEANS QUIDDITCH,140
LOYOLA UNIVERSITY OF CHICAGO,139
LOYOLA-NEW ORLEANS,140
LOYOLAåÊ UNIVERSITY NEW ORLEANS,140
LUMBERJACK QUIDDITCH,235
MACAULAY,142
MACAULAY HONORS COLLEGE,142
MACAULAY HONORS COLLEGE MARAUDERS,142
MACAULAY HONORS MARAUDERS,142
MACAULAY UNIVERSITY,142
MACQUARIE MALACLAWS,287
MACQUARIE UNIVERSITY,287
MANSFIELD UNIVERSITY FIRE FERRETS QUIDDITCH,143
MARQUETTE UNIVERSITY,144
MARQUETTE UNIVERSITY QUIDDITCH,144
MARYLAND QUIDDITCH,146
MARYVILLE UNIVERSITY QUIDDITCH,147
MCGILL UNIVERSITY,149
MCGILL UNIVERSITY QUIDDITCH,149
MCMASTER QUIDDITCH,150
MCMASTER UNIVERSITY,150
MELBOURNE MANTICORES,151
MERCENARY,141
MERCS,141
MIAMI UNIVERSITY,152
MIAMI UNIVERSITY (OH),152
MIAMI UNIVERSITY (OH) QUIDDITCH,152
MIAMI UNIVERSITY LIONHAWKS,152
MIAMI UNIVERSITY OF OHIO,152
MICHIGAN QUIDDITCH,153
MICHIGAN QUIDDITCH TEAM,153
MICHIGAN STATE,154
MICHIGAN STATE QUIDDITCH,154
MICHIGAN STATE UNIVERSITY,154
MICHIGAN STATE UNIVERSITY SPARTAN QUIDDITCH,154
MIDDLEBURY COLLEGE QUIDDITCH,155
MILANO MENEGHINS,156
MILE HIGH QUIDDITCH CLUB,157
MINNESOTA NICE QUIDDITCH CLUB,159
MINNESOTA QUIDDITCH,158
MISSION BLUES QUIDDITCH,160
MISSOURI,161
MIZZOU,161
MIZZOU QUIDDITCH,161
MOSCOW MANTICORES AT THE UNIVERSITY OF IDAHO,110
NANTES,171
NAU NARWHALS,163
NC STATE CLUB QUIDDITCH,168
NEARLY HEADLESS KNIGHTS,39
NEARLY HEADLESS KNIGHTS QUIDDITCH,39
NEW HAVEN NIGHTMARES,174
NEW YORK BADASSILISKS,175
NEW YORK PIGEONS,176
NEW YORK UNIVERSITY,170
NEW YORK UNIVERSITY NUNDU,170
NEW YORK UNIVERSITY QUIDDITCH,170
NOMADS,177
NOMADS QUIDDITCH,178
NORTH TEXAS FIREBOLTS,167
NORTHERN ARIZONA STATE UNIVERSITY,163
NORTHERN ARIZONA UNIVERSITY,163
NORTHERN ARIZONA UNIVERSITY NARWHALS,163
NORTHERN ILLINOIS,166
